搜索关键词,商品名称,价格,评价人数,商家店名
手套,"
								北极绒 毛线手套男冬季针织保暖防滑触屏加绒加厚手套 DZ100;驼色 均码
								北极绒 毛线手套男冬季针织保暖防滑触屏加绒加厚手套 DZ100;驼色 均码
							",39,1000+,"
									北极绒谷登专卖店
						"
手套,"
								南极人骑行手套男户外骑车装备摩托车山地车防滑防寒运动保暖触屏男士手套N2E0X08391 黑色
								南极人骑行手套男户外骑车装备摩托车山地车防滑防寒运动保暖触屏男士手套N2E0X08391 黑色
							",33,1万+,"
									南极人骑行运动京东自营专区
						"
手套,"
								南极人手套男冬季户外骑行摩托车防风防泼水加绒加厚骑车保暖触屏男士棉皮手套 N18M658 箭头款黑色 均码
								
							",49,5000+,"
									南极人服配京东自营旗舰店
						"
手套,"
								浪莎手套女冬季加绒加厚防风防寒可触屏女士羊毛保暖毛线手套学生 摩卡【礼盒装】 均码
								浪莎手套女冬季加绒加厚防风防寒可触屏女士羊毛保暖毛线手套学生 摩卡【礼盒装】 均码
							",49,1000+,"
									浪莎服配旗舰店
						"
手套,"
								南极人 运动手套男士冬季户外运动跑步防风加绒保暖手套骑行骑车开车女士登山运动手套 黑色
								南极人 运动手套男士冬季户外运动跑步防风加绒保暖手套骑行骑车开车女士登山运动手套 黑色
							",29,500+,"
									
									南极人配饰旗舰店
						"
手套,"
								京振派 手套女士冬季防寒保暖手套可爱露指女款学生加绒加厚半指翻盖毛线手套 白色
								卡通造型手套，萌化冰雪趣享甜美范，更多优惠点击
							",39.9,100+,"
									京振派配饰旗舰店
						"
手套,"
								新款半指手套保暖女士秋冬季男加厚保暖半截可爱学生写字漏指露指冬天毛绒手套 白银灰 均码
								新款半指手套保暖女士秋冬季男加厚保暖半截可爱学生写字漏指露指冬天毛绒手套 白银灰 均码
							",27,1000+,"
									途尊捷奔专卖店
						"
手套,"
								棉手套男冬季骑行防滑保暖加棉加绒加厚防寒防风抗寒外卖骑手摩托车 男士经典款(皮面黑色)【加厚加绒】 均码
								支持七天无理由退货
							",29,500+,"
									曼琪魅雅旗舰店
						"
手套,"
								俞兆林骑行手套男户外开车骑车运动手套全指弹力冰丝自行车摩托车电动车手套 黑橘色 L（大码）
								
							",39.9,23,"
									俞兆林户外旗舰店
						"
手套,"
								爱不释手 手套劳保耐磨工作PU涂指涂掌尼龙劳动胶皮防滑防护涂层薄款工作防护带胶挂胶超薄无尘透气 白色PU涂指12双【指头涂胶】 M/中号 绿色边
								pu涂指涂掌防滑耐磨轻薄透气
							",19.8,1万+,"
									中礼安防专营店
						"
手套,"
								荷棠梦真皮手套男女冬季绵羊皮加绒保暖防寒男女拼皮手套户外骑行羊皮手套 女士拼皮边扣 均码
								荷棠梦真皮手套男女冬季绵羊皮加绒保暖防寒男女拼皮手套户外骑行羊皮手套 女士拼皮边扣 均码
							",39,100+,"
									荷棠梦服饰旗舰店
						"
手套,"
								嘉德朗 1000只一次性手套儿童PE厨房餐饮美发食品吃龙虾 加厚透明塑料手套薄膜卫生手套 成人款200只装
								机器称重封装实际物品会有2-3只左右的误差
							",6.9,2万+,"
									嘉德朗厨具旗舰店
						"
手套,"
								檞寄生 手套女冬天保暖防寒韩版学生写字可爱半指翻盖手套毛茸茸加绒 奶白色
								加厚保暖，半指翻盖设计
							",49.9,200+,"
									檞寄生旗舰店
						"
手套,"
								多菲尼森 手套女士 秋冬季女生骑行保暖学生加厚加绒防风防寒户外骑车五指分指触屏开车滑雪摩托车毛线手套 柔软加绒（粉色）
								多菲尼森 手套女士 秋冬季女生骑行保暖学生加厚加绒防风防寒户外骑车五指分指触屏开车滑雪摩托车毛线手套 柔软加绒（粉色）
							",29,97,"
									多菲尼森服饰旗舰店
						"
手套,"
								巧姨牛筋橡胶手套乳胶劳保工作耐磨耐用胶皮防水洗衣服洗碗女厨房家用 黄色加厚3双装 S(小码)
								
							",11.9,1万+,"
									巧姨官方旗舰店
						"
手套,"
								浪莎骑行手套男冬季新品加绒防寒保暖手套触屏防滑开车登山滑雪手套男骑行防风摩托车手套 侧面字母款 灰色 均码
								浪莎骑行手套男冬季新品加绒防寒保暖手套触屏防滑开车登山滑雪手套男骑行防风摩托车手套 侧面字母款 灰色 均码
							",29,65,"
									浪莎服配旗舰店
						"
手套,"
								海澜之家（HLA）皮手套女冬季保暖加绒手套滑雪骑行可触屏防寒防风防水溅户外LZ173BBM 【防泼水加绒可触屏】
								海澜之家（HLA）皮手套女冬季保暖加绒手套滑雪骑行可触屏防寒防风防水溅户外LZ173BBM 【防泼水加绒可触屏】
							",69,200+,"
									海澜之家配饰京东自营专区
						"
手套,"
								皮尔卡丹【甄选轻奢】进口山羊皮男士修手薄款单皮冬季加绒保暖开车骑行手套男触屏 黑色【触屏】薄款丝里 M
								【京选优品】不比价格比质量，更比服务，可质保，售后无忧！拍下送运费险，支持七天无理由退换货！款式多样关注收藏加购有礼！
							",369,1,"
									若禾内衣专营店
						"
手套,"
								京东超市	
屋田 一次性手套500只盒装抽取式 食品手套 加厚防漏塑料PE卫生手套 厨房烘焙防护餐饮美发手膜吃龙虾WT-128
								【厨具限时促销】11月24日-11月26日，领券满300减30；限时限量等你来抢！点击查看
							",24.9,2000+,"
									屋田（WT）京东自营旗舰店
						"
手套,"
								曼迪卡威健身手套男女运动手套拉单杠器械训练引体向上撸铁耐磨防滑半指护具加长护腕 黑色男款L号
								【店铺所有商品凑单买2件享9折】【买就送运动发带】
【掌心加厚硅胶防滑/手背镂空透气/腕带加长保护】
【发京东快递/15天免费退换】
							",29.9,5万+,"
									曼迪卡威旗舰店
						"
手套,"
								先锋连 触屏骑行手套男女全指抓绒户外滑雪登山保暖防风防水拉链款手套 黑色
								
							",19.9,100+,"
									先锋连京东自营专区
						"
手套,"
								VVC手套女保暖防风秋冬加绒加厚触屏开车骑行柔软绒毛手套 浅卡其
								VVC手套女保暖防风秋冬加绒加厚触屏开车骑行柔软绒毛手套 浅卡其
							",98,49,"
									VVC京东自营旗舰店
						"
手套,"
								骑兵连Cavalry保暖触屏手套男女冬季防水加绒电动车摩托车手套户外滑雪防滑手套骑行装备 黑色
								冬季御寒拉链手套，手机触屏灵敏、抗寒保暖、轻盈柔软。点击直达！
							",32,1000+,"
									骑兵连运动京东自营专区
						"
手套,"
								美洲野牛 真皮手套女冬季加绒加厚羊皮保暖触屏开车骑行户外骑行防风摩托车防寒户外手套 黑色 L码
								美洲野牛 真皮手套女冬季加绒加厚羊皮保暖触屏开车骑行户外骑行防风摩托车防寒户外手套 黑色 L码
							",129,8,"
									美洲野牛箱包旗舰店
						"
手套,"
								星宇手套N588N598N599丁腈半浸/全浸劳保手套 耐磨防油防水耐酸碱半挂手套 化工机械农牧手套 FN108灰12付
								星宇手套N588N598N599丁腈半浸/全浸劳保手套 耐磨防油防水耐酸碱半挂手套 化工机械农牧手套 FN108灰12付
							",25.6,500+,"
									星宇官方旗舰店
						"
手套,"
								星工（XINGGONG）焊工电焊手套焊接牛皮耐磨隔热耐高温长款劳保手套 1付装
								官方旗舰，品质保证。更多优惠点击查看》
							",28.6,1000+,"
									
									星工官方旗舰店
						"
手套,"
								俞兆林皮手套男冬季骑行开车男士手套户外防风防寒加绒保暖手套摩托车电动车骑车触屏手套Y21ST6541 纽扣款
								
							",49,65,"
									俞兆林服饰配件京东自营专区
						"
手套,"
								京东超市	
啄木鸟 TUCANO 儿童手套冬加绒保暖针织翻盖半指男女童宝宝五指幼儿园学生 灰色
								啄木鸟 TUCANO 儿童手套冬加绒保暖针织翻盖半指男女童宝宝五指幼儿园学生 灰色
							",39,100+,"
									啄木鸟TUCANO京东自营旗舰店
						"
手套,"
								妙洁 清洁橡胶手套 无味低敏厚皮实耐用防滑家务厨房洗碗 中号
								妙洁 清洁橡胶手套 无味低敏厚皮实耐用防滑家务厨房洗碗 中号
							",10.9,5000+,"
									
									妙洁官方旗舰店
						"
手套,"
								新吉星透气王加强指手套劳保耐磨工作男乳胶发泡王橡胶防滑工地干活防护手套浸涂胶劳动保护胶皮挂胶手套 （进口胶）新吉星透气加强指【12双】
								厂家直销/纯胶制作/防滑耐磨/柔软舒适/安全环保/劳动防护
							",28.8,1000+,"
									新吉星官方旗舰店
						"
手套,"
								曼琪魅雅手套女冬天韩版加绒加厚网红款骑车保暖学生ins 防风可爱触屏手套 -粉色029 均码
								曼琪魅雅手套女冬天韩版加绒加厚网红款骑车保暖学生ins 防风可爱触屏手套 -粉色029 均码
							",29.9,33,"
									曼琪魅雅旗舰店
						"
手套,"
								幻美迪户外保暖手套男冬天保暖骑行秋冬季加绒加厚运动摩托车防风防泼水滑雪登山外骑防寒开车防滑可触屏 黑色 均码
								幻美迪户外保暖手套男冬天保暖骑行秋冬季加绒加厚运动摩托车防风防泼水滑雪登山外骑防寒开车防滑可触屏 黑色 均码
							",19,200+,"
									幻美迪旗舰店
						"
手套,"
								李宁（LI-NING）手套保暖男冬季加绒触屏防滑骑行电瓶车滑雪手套摩托车防风加厚电动车防寒全指手套 灰M
								
							",62,500+,"
									李宁（LI-NING）户外装备京东自营专区
						"
手套,"
								云见森知 手套女冬季可爱小鹿保暖手套毛绒加厚女士手套翻盖半指毛线手套 米黄色
								可爱鹿角装饰，半指写字不打滑
							",24.9,1000+,"
									云见森知旗舰店
						"
手套,"
								佰思腾手套男冬季防寒保暖骑行开车触屏皮手套防风防滑户外运动健身登山锻炼防寒加绒加厚棉手套 男士全指黑色 均码
								佰思腾手套男冬季防寒保暖骑行开车触屏皮手套防风防滑户外运动健身登山锻炼防寒加绒加厚棉手套 男士全指黑色 均码
							",19.9,1万+,"
									
									佰思腾旗舰店
						"
手套,"
								浪莎手套男女冬季触屏滑雪手套户外防水防风保暖骑行全指加绒登山 黑色 均码
								浪莎手套男女冬季触屏滑雪手套户外防水防风保暖骑行全指加绒登山 黑色 均码
							",39,200+,"
									浪莎服配旗舰店
						"
手套,"
								VVC手套女保暖加绒手套触屏户外骑行手套柔软绒毛防寒手套 花雾粉
								vvc暖冬出行丨1件8折，2件7.5折丨指定款买1赠1点击查看更多优惠！
							",98,200+,"
									VVC官方旗舰店
						"
手套,"
								Anguiqi电动车手套冬季摩托车把套三轮车加厚保暖PU皮防水挡风男女护手套 加厚款 电动车把套
								Anguiqi电动车手套冬季摩托车把套三轮车加厚保暖PU皮防水挡风男女护手套 加厚款 电动车把套
							",29.9,2000+,"
									
									安骑运动户外专营店
						"
手套,"
								啄木鸟 TUCANO 皮手套男冬季加绒保暖触屏骑车户外骑行男士冬天防风摩托车加厚防寒棉 双线款
								
							",59,69,"
									啄木鸟TUCANO京东自营旗舰店
						"
手套,"
								美丽雅家务手套丁腈耐用乳胶厨房清洁洗碗洗衣服防水夏季手套 丁腈耐用手套【3双】
								12月1日家居日用超品日，爆款抢先预定立省90，付尾款更有豪华礼品赠送，点击立达活动区》》点击立达活动区》》
							",35.9,2000+,"
									美丽雅旗舰店
						"
手套,"
								
FitonTon麂皮绒手套男女秋冬运动骑行户外开车情侣保暖加绒加厚硅胶触屏骑车手套FTS0002 黑色
								【户外骑行手套】防风抗寒|情侣冬天手套|可触屏手套更多款式点击
							",59,100+,"
									FitonTon京东自营旗舰店
						"
手套,"
								京东超市	
伊司达 丁腈家务手套日本厨房洗碗洗衣服无味仿刺防割耐用中号（白色）
								家庭清洁全场特惠，免手洗拖把、智能垃圾桶、抽绳垃圾袋、一次性抹布、玻璃擦、魔术扫把、进口清洁，更多好物点击一次购齐！
							",11.5,1万+,"
									伊司达京东自营专区
						"
手套,"
								星工（XINGGONG）浸胶手套 防滑舒适耐用掌胶尼龙半胶手套 胶片涂胶挂胶带胶劳保手套 绿纱黑12付
								官方旗舰，品质保证。更多优惠点击查看》
							",39,1000+,"
									
									星工官方旗舰店
						"
手套,"
								花花公子PLAYBOY男士手套 触屏加厚保暖男骑车开车冬季防水防风手套 款式五【加绒加厚保暖】 均码
								【奇遇冬季】满2件立享8折优惠
【品质保证】官方授权专卖，品质无忧
【售后无忧】支持7天无理由退换，赠运费险
							",49,2000+,"
									
									花花公子配饰旗舰店
						"
手套,"
								浩冠 手套男冬季半指骑行保暖漏指韩版针织毛线手套棉男士秋冬天写字户外加绒加厚防寒 浅灰 均码有弹性
								
							",38.8,100+,"
									浩冠旗舰店
						"
手套,"
								【优选】皮尔卡丹复古蝴蝶结羊皮手套女士冬季羊毛加厚保暖骑车开车山羊皮手套 情人棕【羊毛针织里】礼盒 S
								【京选优品】不比价格比质量，更比服务，可质保，售后无忧！拍下送运费险，支持七天无理由退换货！款式多样关注收藏加购有礼！
							",399,1,"
									若禾内衣专营店
						"
手套,"
								
北极绒 皮手套男冬季骑行加绒加厚保暖骑车防风男士触屏手套 罗口边条皮手套 黑色
								组合套装，加送经典款，PU材质防风防寒防泼水，可触屏，锁住温暖！寻找更多好货可猛戳这里~(此商品不参加上述活动)
							",49,5000+,"
									北极绒（Bejirog）配饰京东自营旗舰店
						"
手套,"
								京东超市	
皮尔卡丹 男士真皮手套保暖冬季防寒骑行触屏摩托车加绒防风山羊皮手套 883191170-1B-XXL码
								皮尔卡丹 男士真皮手套保暖冬季防寒骑行触屏摩托车加绒防风山羊皮手套 883191170-1B-XXL码
							",268,500+,"
									皮尔卡丹（pierre cardin）配饰京东自营旗舰店
						"
手套,"
								
暖芬（NuanFen）手套女冬季骑行全指毛绒韩版五指分指节日礼物 A5525C 猫咪五指米杏色
								暖芬（NuanFen）手套女冬季骑行全指毛绒韩版五指分指节日礼物 A5525C 猫咪五指米杏色
							",89,5000+,"
									暖芬京东自营旗舰店
						"
手套,"
								圣丹美冬户外保暖手套男冬天保暖骑行秋冬季加绒加厚运动摩托车防风防泼水滑雪登山外骑防寒开车防滑可触屏 黑色 均码
								圣丹美冬户外保暖手套男冬天保暖骑行秋冬季加绒加厚运动摩托车防风防泼水滑雪登山外骑防寒开车防滑可触屏 黑色 均码
							",29,2000+,"
									圣丹美冬官方旗舰店
						"
手套,"
								啄木鸟 TUCANO 皮手套男士冬天骑行防寒保暖加厚加绒真皮冬季骑车摩托车棉手套 骑士款黑色
								
							",49,2000+,"
									啄木鸟TUCANO京东自营旗舰店
						"
手套,"
								&*皮尔卡丹旗舰官方半指手套男开车骑行健身户外运动透气登山加厚保暖手套 温馨提示：S是小码 M是中码 L是大码 S
								退换无忧+保证+品牌+轻奢+女人穿的衣服+新品+网红同款+直营+时尚+商场同款+年轻妈妈装+30-40-50岁穿的衣服+职业女装关注收藏加购有礼！
							",179,0,"
									若禾内衣专营店
						"
手套,"
								JEEP吉普【官方】女士真皮手套秋韩版加绒加厚防风防水骑行开车触屏山羊皮手套女 米白色加绒款-礼盒 均码
								【JEEP吉普官方旗舰专卖店】【相信品牌的力量】店铺提供运费险，七天无理由放心购服务，点此浏览
							",849,0,"
									吉普光影专卖店
						"
手套,"
								
啄木鸟（TUCANO）手套女冬季保暖防风触屏加绒加厚户外开车骑行简约时尚麂皮绒女士手套 黑色
								啄木鸟（TUCANO）手套女冬季保暖防风触屏加绒加厚户外开车骑行简约时尚麂皮绒女士手套 黑色
							",49,1000+,"
									啄木鸟（TUCANO）配饰京东自营旗舰店
						"
手套,"
								嘉湛力一次性手套丁腈橡乳胶手套实验室防酸碱耐油食品医生牙科检查卫生手套100只/盒 无粉蓝丁腈中码M(100只/盒)
								免费开电子发票，满额可开增值税13%专用发票，多买更优惠，优质丁腈手套现货抢购中！颜色随机发蓝色和紫蓝色，请以收到的实物为准，亲们请知悉！
							",64.9,1万+,"
									
									嘉湛力旗舰店
						"
手套,"
								迪士尼儿童手套冬保暖可拆分针织五指男童学生毛线全指蜘蛛侠宝宝 A款美队9439-3宝蓝+蓝 均码/适合5-10岁
								一款3用|可拆分|半指/全指/2合1|针织保暖
							",32,1000+,"
									多妙屋旗舰店
						"
手套,"
								yaphtes 户外保暖骑行手套保暖加绒加厚防水触屏手套防风摩托车电瓶电动车防寒滑雪手套骑行装备【黑色】
								
							",34,5万+,"
									yaphtes运动京东自营专区
						"
手套,"
								智汇 电动车手套 电动车手把套冬季保暖加绒加厚电瓶车摩托车棉把套防水防雨电动车挡风护手套 大眼妹妹（手套黑色） 均码
								【1】七大仓就近发货，当/次日达【2】30天保价服务【3】大拇指设计可按喇叭，密线锁边，3D烫画【4】保暖也要时尚。这个冬天有他就够了！保暖骑行护膝点这里！
							",46,5000+,"
									
									智汇运动户外旗舰店
						"
手套,"
								雅鹿手套女士秋冬季触屏加绒保暖麂皮绒可爱学生手套骑车开车加厚防寒生日礼物精美包装 卡其厚
								雅鹿手套女士秋冬季触屏加绒保暖麂皮绒可爱学生手套骑车开车加厚防寒生日礼物精美包装 卡其厚
							",79,100+,"
									雅鹿配饰旗舰店
						"
手套,"
								【保暖护手】南极人毛线手套男女士针织半指手套男春秋冬季露指漏半截写字办公室打字加绒防寒保暖女 黑色 均码
								南极人官方旗舰店+专柜商场同款质量+21年秋冬季新款毛边五指毛线手套男女士儿童青年半指手套中老年全指加绒加厚手套骑车防寒+包邮+运费险更多优惠请点击这里！
							",98,5,"
									南极人炫澜专卖店
						"
手套,"
								美洲野牛女士真皮手套冬季保暖时尚加绒加厚蝴蝶结女式开车羊皮手套 黑色 L
								美洲野牛女士真皮手套冬季保暖时尚加绒加厚蝴蝶结女式开车羊皮手套 黑色 L
							",139,36,"
									美洲野牛旗舰店
						"
手套,"
								檞寄生 手套女冬天加绒加厚保暖可爱毛绒韩版日系学生露指半指手套 白色
								内里加绒，时尚保暖
							",49.9,100+,"
									檞寄生旗舰店
						"
手套,"
								魔轮（Move iron）骑行手套男冬季拉链触屏男女防风保暖电动车手套运动加绒穿戴装备【露指触屏 黑色款】
								
							",45,1000+,"
									魔轮（Move iron）骑行运动京东自营旗舰店
						"
手套,"
								美宝利手套一次性使用检查手套TPE医用手套防护检查家用（M)中号 通用 100只/盒
								美宝利手套一次性使用检查手套TPE医用手套防护检查家用（M)中号 通用 100只/盒
							",19.8,2万+,"
									美宝利京东自营旗舰店
						"
手套,"
								
卡蒙（Kenmont）km-2805 冬天保暖羊毛针织毛线分指手套男户外骑车加厚双层五指手套 灰色均码(手套专拍)
								卡蒙（Kenmont）km-2805 冬天保暖羊毛针织毛线分指手套男户外骑车加厚双层五指手套 灰色均码(手套专拍)
							",138,500+,"
									KENMONT京东自营旗舰店
						"
手套,"
								浩冠 真皮手套男士冬季骑行防寒保暖加厚加绒触屏户外骑车摩托车棉手套 A款咖色 均码
								大量帽子围巾手套促销中，两件8折，并送运费险，更多商品以及优惠请点击这里请点击这里
							",39,500+,"
									
									浩冠旗舰店
						"
手套,"
								
南极人手套男冬季钓鱼防风保暖冬天防寒加厚加绒户外骑车骑行运动手套N2E9X950501 黑色
								【南极人】冬季爆品推荐：针织手套、皮手套、骑行手套、毛线帽、贝雷帽、围巾、耳罩、口罩/面罩，更多保暖好物》》点击浏览
							",59,2000+,"
									南极人服配京东自营旗舰店
						"
手套,"
								京东超市	
锡牧 羊毛男士手套冬季防寒保暖手套开车骑行手套加厚男款毛线手套触屏手套男冬 礼盒装 S006 花灰色
								【11.25-11.28】保暖好物，2件9.5折，更有爆款直降，保暖围巾、保暖帽子、保暖手套、耳罩等，品质保证，限时抢购，库存有限点击查看更多款式
							",69,200+,"
									锡牧京东自营旗舰店
						"
手套,"
								金利来手套 保暖触屏羊皮时尚男士手套送礼圣诞节礼物送男友送老公 黑色 L
								
							",299,500+,"
									金利来箱包旗舰店
						"
手套,"
								筠尚手套女士秋冬季保暖骑行开车触屏防风防寒学生小熊可爱韩版户外薄款冬天针织手套 蓝色
								筠尚手套女士秋冬季保暖骑行开车触屏防风防寒学生小熊可爱韩版户外薄款冬天针织手套 蓝色
							",26,88,"
									筠尚旗舰店
						"
手套,"
								永久 自行车骑行手套男女冬季保暖防寒全指手套电动摩托车单车手套 ST305运动保暖手套-黑色 L
								【永久官方专营店】【京东闪购】【领京东大额券下单享低价】【3.3万+好评爆款油碟山地车相赠豪礼&承诺终身质保~店内配件尊享折扣，快来选购吧！猛戳爆款
							",39,100+,"
									永久自行车专营店
						"
手套,"
								浩冠 手套女冬可爱卡通韩版冬季女士保暖加绒加厚毛线绒手套半指猫爪手套 米色
								大量帽子围巾手套促销中，两件8折，并送运费险，更多商品以及优惠请点击这里请点击这里
							",29.9,100+,"
									
									浩冠旗舰店
						"
手套,"
								
南极人手套女冬季保暖加绒时尚韩版学生骑行开车分指薄款触屏女士手套NW-260 灰色 均码
								【南极人】冬季爆品推荐：针织手套、皮手套、骑行手套、毛线帽、贝雷帽、围巾、耳罩、口罩/面罩，更多保暖好物》》点击浏览
							",39,1万+,"
									南极人服配京东自营旗舰店
						"
手套,"
								
ELLE 羊毛手套女秋冬防寒保暖手套加绒可爱蝴蝶结女款毛线手套触屏手套女冬节日礼物 灰色 均码
								ELLE 羊毛手套女秋冬防寒保暖手套加绒可爱蝴蝶结女款毛线手套触屏手套女冬节日礼物 灰色 均码
							",99,35,"
									ELLE配饰京东自营旗舰店
						"
手套,"
								手套男冬季户外运动骑行保暖登山开车骑车触屏防滑女士防风防寒棉
								
							",39,1000+,"
									北极绒（Bejirog）配饰京东自营专区
						"
手套,"
								慕衣宾士骑行手套女冬季ins可爱保暖手套加绒防风防寒手套女学生冬天骑车触屏手套 麂皮绒灰色
								慕衣宾士骑行手套女冬季ins可爱保暖手套加绒防风防寒手套女学生冬天骑车触屏手套 麂皮绒灰色
							",29.9,97,"
									沃港服饰专营店
						"
手套,"
								皮尔卡丹真皮手套女羊皮柔软冬天加厚加绒触屏手套骑车保暖冬季女骑行送礼新年礼物 黑色 M
								11.25日-11.27日【皮尔卡丹】领券每满200减30，上不封顶；赠运费险、精美包装！更多优惠点我
							",479,3,"
									皮尔卡丹官方旗舰店
						"
手套,"
								千居惠  洗碗手套家务厨房橡胶胶皮洗衣服防水耐用乳胶皮加长加厚型手套家用硅胶冬天刷碗牛筋清洁手套 仙女蓝手套3双装
								买1送2，实发3双加长加厚，用不坏
							",24.35,500+,"
									
									千居惠礼品专营店
						"
手套,"
								探路者（TOREAD）手套 21秋冬 运动户外男女通用耐磨防滑 保暖舒适滑雪手套 TELJ90305 黑色 L
								11.26-11.28，探路者黑五钜惠，全场领券满299减80,599减150,999减300，详情点击
							",79,200+,"
									探路者（TOREAD）京东自营旗舰店
						"
手套,"
								礼仪白三筋男女白手套薄短款春夏季检阅执勤演出保安开车礼宾手套 白色 【阅兵款三筋白手套】 1双装 男L
								独立包装，白度高，有质感，适合礼仪接待，演出
							",6,200+,"
									鹏道工业品专营店
						"
手套,"
								卡帝乐鳄鱼手套男士冬季户外防风防水加绒加厚保暖摩托车骑行皮手套冬天触屏 01黑线A
								
							",49,2000+,"
									卡帝乐鳄鱼柔尚专卖店
						"
手套,"
								
恒源祥 皮手套女冬季加绒保暖触屏开车骑车户外骑行女士秋季防泼水防风 50M21945 灰色L
								新品好物来袭！秋冬必备保暖手套、防寒帽子、亲肤围巾、围脖，温暖舒适，买你所爱，物超所值，点击查看更多秋冬保暖单品
							",199,16,"
									恒源祥配饰京东自营旗舰店
						"
手套,"
								3M触屏手套 可操作触屏手机 专业劳保手套 工业劳动防滑粘胶丁腈浸胶耐磨 通用透气【触屏型L码】
								【工业品】年终采购节来啦！百万爆款享9折，企业最高减888，超值囤货价点击
							",28.8,1000+,"
									3M电气工业品京东自营旗舰店
						"
手套,"
								恒源祥手套女士冬季加绒保暖厚分指韩版学生冬天骑车防风触碰手套新年生日礼物 猫须粉色
								恒源祥冬季大钜惠啦！全店1件95折/2件8折/3件7折！京东急速送达！亲肤围巾，保暖手套，洋气帽子，时尚新款爆款等你来凑单!探索更多
							",159,2000+,"
									恒源祥暨昌专卖店
						"
手套,"
								Aibusiso 洗碗手套一次性食品级丁晴胶皮橡胶厨房加长加厚家务清洁洗衣防水手套女 加长款蓝色丁腈手套 100只装【加厚款】 M码/中号
								长约28cm，加长防水，可接触食品
							",99,1000+,"
									
									中礼清洁用品专营店
						"
手套,"
								
玖慕(JIUMU)纯羊毛女士围巾帽子手套三件套冬季保暖围脖帽子女冬套装圣诞生日礼物 礼盒装 TZ004 米白
								【11.25-11.28】保暖好物，2件9.5折，更有爆款直降，保暖围巾、保暖帽子、保暖手套、保暖毛衣等，品质保证，限时抢购，库存有限点击查看更多款式
							",299,200+,"
									玖慕京东自营旗舰店
						"
手套,"
								美洲野牛手套男士冬天加绒加厚滑雪手套骑行保暖骑摩托车冬季防风防泼水防寒触屏棉手套 黑色;S070-1B 均码
								
							",69,1000+,"
									美洲野牛配饰旗舰店
						"
手套,"
								蕉下 手套女保暖手套德绒手套男冬加绒防风防寒全指户外骑行可触屏  保暖手套-浅灰紫 均码
								轻薄保暖，修饰手型，立体纤长，高弹塑形，雅致百搭，触屏灵敏，防寒防滑手套进入详情
							",89,2000+,"
									蕉下京东自营旗舰店
						"
手套,"
								罗拉诗 韩国手套冬天男女五指可爱骑行保暖毛线条纹触屏防寒加绒加厚学生生日礼物 黑色条纹
								罗拉诗 韩国手套冬天男女五指可爱骑行保暖毛线条纹触屏防寒加绒加厚学生生日礼物 黑色条纹
							",39,31,"
									罗拉诗旗舰店
						"
手套,"
								嘉湛力一次性手套乳胶橡胶检查实验室牙科医院美容卫生防护手套有粉型100只/盒 无粉型米黄色100只小码S
								可开电子发票，满额可开增值税13%专用发票，优质乳胶手套现货抢购中韧性好，高弹性，不脏手，让双手更年轻，无粉型链接点击查看，
							",59.9,2万+,"
									
									嘉湛力旗舰店
						"
手套,"
								家の物语 日本厨房手套洗碗洗衣服家务手套食品级丁晴手套加长防水耐用性家用橡胶手套 M
								【大牌闪购日】爆款直降，部分商品领劵满199减40，活动仅限：11.26日，进店铺首页领取优惠劵叠加使用更划算，0元试用每日限购5名，点进入抢购
							",17.6,1万+,"
									家之物语旗舰店
						"
手套,"
								Cavalry自行车破风全指手套夏季户外运动健身手套 男女长指山地车公路车减震触屏手套骑行装备 黑色L码
								冬季御寒拉链手套，手机触屏灵敏、抗寒保暖、轻盈柔软。点击直达！
							",49,1000+,"
									骑兵连运动京东自营专区
						"
手套,"
								京振派 手套男冬季触屏针织毛线手套加绒加厚户外骑行防寒保暖女士手套 灰色
								
							",24.9,100+,"
									京振派配饰旗舰店
						"
手套,"
								小米（MI）生态同款手套男骑行秋冬季摩托车女防寒防水加厚山地车骑车全指自行车防护 黑色-2020新款手套 均码
								小米（MI）生态同款手套男骑行秋冬季摩托车女防寒防水加厚山地车骑车全指自行车防护 黑色-2020新款手套 均码
							",99,16,"
									晖跃汽车用品专营店
						"
手套,"
								
南极人手套女冬季保暖韩版可爱加绒加厚防风防寒触屏女士手套 N18M872 紫
								【南极人】冬季爆品推荐：针织手套、皮手套、骑行手套、毛线帽、贝雷帽、围巾、耳罩、口罩/面罩，更多保暖好物》》点击浏览
							",49,5000+,"
									南极人服配京东自营旗舰店
						"
手套,"
								【优选】皮尔卡丹手套短款山羊皮男士触摸屏男式薄保暖冬季加厚 植绒里 L
								【京选优品】不比价格比质量，更比服务，可质保，售后无忧！拍下送运费险，支持七天无理由退换货！款式多样关注收藏加购有礼！
							",319,0,"
									若禾内衣专营店
						"
手套,"
								皮尔卡丹【甄选轻奢】西班牙小山羊皮手套触屏女冬季保暖开车加绒骑车薄款春秋修手 黑色(里) M
								【京选优品】不比价格比质量，更比服务，可质保，售后无忧！拍下送运费险，支持七天无理由退换货！款式多样关注收藏加购有礼！
							",369,2,"
									若禾内衣专营店
						"
手套,"
								摩多狼（MOTOWOLF）摩托车手套冬季防风保暖加厚加绒复古机车骑行防摔防水越野赛车防寒防雨真羊皮男 黑色【真羊皮+防风保暖】 L
								摩多狼旗舰店，高性价比骑行装备，全店赠送运费险/白条免息/免费入会！！！！
							",178,1000+,"
									
									摩多狼官方旗舰店
						"
